,station,location,state,do,ph,co,bod,na,tc,water_quality_index
1172,3028,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI",NAN,6.8,6.7,247.0,2.1,1.84,500.0,2863.0200000000004
1173,3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI",NAN,6.6,6.9,359.0,2.3,0.59,280.0,2865.860000000001
1174,1025,"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD,HARYANA",NAN,6.5,7.6,450.0,18.0,12.0,,2842.84
1175,1026,"GHAGGAR GHNAN2 AT CHANDARPUR SYPHON,  HARYANA",NAN,6.1,7.8,825.0,16.0,14.0,,2842.84
1176,1885,GHAGGAR AT D/S OF SURAJPUR,NAN,6.5,8.4,240.0,2.7,0.62,,2852.5600000000004
1177,1887,GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER) (HARYANA),NAN,6.9,7.8,480.0,18.0,16.0,,2842.84
1178,1023,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",NAN,5.6,6.7,807.0,10.8,2.0,7500.0,1836.08
1179,1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",NAN,4.9,6.8,1097.0,26.5,4.8,46250.0,1041.24
1180,1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",NAN,4.9,6.6,834.0,13.1,2.6,9500.0,1046.0800000000004
1181,1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.)",NAN,5.2,6.7,1027.0,28.0,5.9,57500.0,1824.84
1182,1718,"GAGGAR  ENTERING IN  FROM HARYANA NR RD NO. 629, ",NAN,3.3,7.9,897.0,1.3,0.97,12.0,514.2800000000002
1183,1719,"GAGGAR D/S HANUMANGARH NEAR 2 KNJ NAI ABADI, MAKKASR, ",NAN,4.9,8.0,510.0,1.2,0.35,8.0,1076.2800000000002
1184,1703,"GHAGGER AT MOONAK, PUNJAB",NAN,5.0,6.9,1172.0,25.5,3.8,48750.0,1041.24
1185,1884,KALA AMB D/S MARKANDA RIVER,NAN,4.8,7.8,599.0,534.5,3.75,5000.0,1041.64
1186,1698,"D/S CHHATBIR, PUNJAB",NAN,4.7,6.7,906.0,25.3,7.7,47500.0,1038.0400000000004
1187,1699,"U/S DHAKANSU NALLAH, PUNJAB",NAN,5.4,6.8,883.0,15.4,5.1,21750.0,1828.04
1188,1700,"D/S DHAKANSU NALLAH, PUNJAB",NAN,5.1,7.6,1069.0,26.5,6.6,49250.0,1831.24
1189,1701,"D/S JHARMAL NADI, PUNJAB",NAN,4.2,7.6,1168.0,31.8,7.6,46500.0,1044.44
1190,1702,"U/S JHARMAL NADI, PUNJAB",NAN,4.8,6.6,905.0,15.0,3.3,10500.0,1034.84
1191,1704,"D/S SARDULGARH, PUNJAB",NAN,4.5,6.6,1269.0,30.3,4.1,42750.0,1034.84
1192,1705,"U/S SARDULGARH, PUNJAB",NAN,4.7,6.7,1216.0,26.8,3.7,31500.0,1038.0400000000004
1193,1717,"KODRA DAM, MOUNT ABU, ",NAN,5.2,7.3,465.0,0.9,0.59,9.0,1863.0800000000006
1194,2624,MARKANDA U/S KALA AMB,NAN,7.8,8.2,410.0,1.2,0.1,32.0,2874.6800000000007
1195,2625,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,NAN,6.7,8.12,396.0,1.53,0.15,29.0,2874.6800000000007
1196,1871,"MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",NAN,8.0,8.1,403.0,0.8,0.1,25.0,2874.6800000000007
1197,1424,"IMPHAL AT MAHABALI, MANIPUR",NAN,4.88,7.94,149.0,2.65,,165.0,1068.5800000000004
1198,1457,"IMPHAL AT KOIRENGEI, MANIPUR",NAN,5.67,7.02,153.0,1.67,,22.0,1860.8200000000006
1199,1458,"IRIL AT PORAMPET, MANIPUR",NAN,6.0,6.9,300.0,2.23,,91.0,2863.4200000000005
1200,1624,"LILONG, MANIPUR",NAN,6.15,7.45,234.0,2.0,,222.0,2866.620000000001
1201,1625,"HUMP BRIDGE, MANIPUR",NAN,2.7,7.35,357.0,8.45,,636.0,41.28
1202,1626,"HEIRANGOITHONG, MANIPUR",NAN,2.98,7.52,422.0,5.53,,531.0,45.96
1203,1627,"KIYAMGI, MANIPUR",NAN,5.48,7.42,180.0,2.08,,136.0,1855.2000000000005
1204,1628,"MINUTHONG(IMPHAL RIVER, MANIPUR",NAN,5.13,7.46,162.0,2.23,,211.0,1855.2000000000005
1205,1427,UMTREW AT BYRNIHAT EAST,NAN,7.85,7.13,254.0,6.68,3.35,488.0,2860.0600000000004
1206,1428,"KYRHUKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.",NAN,6.58,6.5,655.0,5.93,4.0,60.0,2854.78
1207,1631,"MYNTDU RIVER JOWAI, MEGHALAYA",NAN,7.58,7.03,191.0,2.08,2.65,2900.0,2863.98
1208,1632,"GANOL RIVER TURA, MEGHALAYA",NAN,8.23,7.05,137.0,1.4,3.2,323.0,2869.78
